SAMPLE	LRR_SD	callrate
HG00532	0.193233	0.997935
HG01851	0.166847	0.998926
NA20785	0.132644	0.997688
HG02523	0.178065	0.998514
NA19107	0.128941	0.999174
HG01698	0.133329	0.99711
NA19068	0.171839	0.998844
HG02054	0.160927	0.998183
NA18986	0.162925	0.998761
HG00107	0.143635	0.996779
HG01074	0.115526	0.998183
NA19397	0.181601	0.995788
HG00478	0.157687	0.998679
HG01498	0.193758	0.997523
HG00350	0.159404	0.998679
NA19716	0.176069	0.998596
HG01358	0.203426	0.999174
NA18599	0.165706	0.996862
HG01315	0.171839	0.998018
NA19714	0.32838	0.998431
HG01620	0.198766	0.996779
NA19379	0.177045	0.998018
NA11920	0.16796	0.996862
NA19097	0.19523	0.998431
NA21389	0.142543	0.998183
NA18610	0.178766	0.999092
NA21093	0.164845	0.997275
NA21425	0.186352	0.998761
NA19679	0.142406	0.998018
HG01068	0.179504	0.999174
NA12777	0.160365	0.998514
NA18963	0.194958	0.997523
NA18576	0.187332	0.99711
NA18560	0.169177	0.998514
HG01181	0.15113	0.997853
HG01135	0.160775	0.998514
HG00405	0.23669	0.998596
NA19020	0.159952	0.998844
HG01345	0.304936	0.998101
HG01982	0.180745	0.998348
NA19078	0.196286	0.998596
HG02122	0.225933	0.999339
HG01601	0.190873	0.998596
HG01048	0.147958	0.995128
NA18857	0.152075	0.998844
NA20872	0.189385	0.999339
NA18623	0.184007	0.999092
HG01861	0.205362	0.999092
HG01466	0.181838	0.998679
NA20333	0.165103	0.999009
NA19382	0.15799	0.998348
HG01761	0.196142	0.999339
HG01110	0.186946	0.99967
NA19131	0.174748	0.998761
HG01748	0.193257	0.998844
NA12144	0.128526	0.997935
NA19151	0.163743	0.998266
HG00262	0.180327	0.998596
HG02067	0.190438	0.99744
HG00737	0.158174	0.996944
HG01599	0.209911	0.998926
HG01857	0.207221	0.998514
NA20775	0.17003	0.997935
HG01509	0.139693	0.997688
HG01915	0.173011	0.996449
NA20757	0.182569	0.998679
HG00236	0.183329	0.995458
NA19750	0.144493	0.998514
HG01628	0.188784	0.998018
NA19461	0.191632	0.99777
HG01096	0.203313	0.996119
HG00458	0.175268	0.998679
HG00553	0.129939	0.998101
NA20874	0.172416	0.998679
HG00766	0.191831	0.997935
NA12282	0.130592	0.998679
HG00355	0.174055	0.997605
HG02064	0.164731	0.99744
HG01052	0.186961	0.998514
HG02013	0.132141	0.997605
HG01936	0.164615	0.999422
HG02486	0.178678	0.998514
NA07056	0.180703	0.998679
HG00983	0.156358	0.997605
HG01885	0.141835	0.999422
HG00133	0.300129	0.998348
NA19046	0.191378	0.998761
NA18757	0.155605	0.999339
HG00580	0.146446	0.998596
NA07347	0.136345	0.997935
NA20884	0.151373	0.999092
NA21386	0.179727	0.998018
NA20281	0.133281	0.999009
NA19707	0.166377	0.998183
HG00231	0.167161	0.998596
HG02385	0.142533	0.998101
HG01462	0.290637	0.997275
HG01867	0.186709	0.998266
NA19438	0.178331	0.999092
HG02224	0.130639	0.997605
