SAMPLE	PC1
HG00532	-9.076243099
HG01851	0.5144011088
NA20785	7.391671082
HG02523	-8.7980983
NA19107	6.201030588
HG01698	-5.146281766
NA19068	12.95401445
HG02054	-2.199240187
NA18986	9.774881427
HG00107	5.623856895
HG01074	2.376228451
NA19397	0.9431890269
HG00478	1.474766744
HG01498	-3.201961735
HG00350	1.891537761
NA19716	7.292191959
HG01358	-13.49351947
NA18599	8.859311324
HG01315	-0.2273454023
NA19714	-7.754141186
HG01620	10.26439856
NA19379	7.244993929
NA11920	8.067866586
NA19097	6.226874019
NA21389	0.4390904798
NA18610	4.158502801
NA21093	-9.931520901
NA21425	-0.1226709283
NA19679	8.012994306
HG01068	-0.999453101
NA12777	-1.436908238
NA18963	12.4038427
NA18576	3.19333961
NA18560	5.42985142
HG01181	-0.8721325367
HG01135	3.115315673
HG00405	-15.51982475
NA19020	12.04564052
HG01345	-8.685108383
HG01982	-10.1723734
NA19078	3.887890021
HG02122	-17.97850279
HG01601	-11.85891884
HG01048	8.331387971
NA18857	6.352143071
NA20872	-6.198012697
NA18623	6.69586419
HG01861	-15.23162989
HG01466	1.750460511
NA20333	2.356568288
NA19382	5.789518319
HG01761	-13.77236713
HG01110	-2.857573712
NA19131	3.741125945
HG01748	-13.71620333
NA12144	8.069260026
NA19151	-2.622056457
HG00262	7.948520765
HG02067	-13.66857673
HG00737	6.199016907
HG01599	-15.46158693
HG01857	-15.3140971
NA20775	4.759132365
HG01509	6.734775159
HG01915	-3.909610517
NA20757	10.15903972
HG00236	11.56844854
NA19750	10.29872857
HG01628	4.951210239
NA19461	14.65861542
HG01096	-12.91119433
HG00458	3.742325628
HG00553	2.730031921
NA20874	-7.640341181
HG00766	-9.196699869
NA12282	4.731548955
HG00355	4.988363802
HG02064	-9.335716178
HG01052	-1.107316973
HG02013	-4.608167974
HG01936	-9.068095379
HG02486	-1.568827867
NA07056	11.46403245
HG00983	-7.92654392
HG01885	-8.373944166
HG00133	-10.95666836
NA19046	0.4526235241
NA18757	8.081133093
HG00580	3.249979429
NA07347	9.896808029
NA20884	-9.303542879
NA21386	1.634422413
NA20281	7.174365976
NA19707	6.597934524
HG00231	4.364691053
HG02385	-8.309676537
HG01462	-4.995152296
HG01867	-11.68020381
NA19438	12.19209757
HG02224	-4.243804599
